face_present,no_of_face,face_x,face_y,face_w,face_h,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_tip_x,nose_tip_y,mouth_x,mouth_y,face_conf,hand_count,left_hand_x,left_hand_y,right_hand_x,right_hand_y,hand_obj_interaction,head_pose,head_pitch,head_yaw,head_roll,phone_present,phone_loc_x,phone_loc_y,phone_conf,gaze_on_script,gaze_direction,gazePoint_x,gazePoint_y,pupil_left_x,pupil_left_y,pupil_right_x,pupil_right_y,label
1,1,263.0,207.0,169.0,169.0,317.7765119075775,244.03657168149948,391.70095682144165,246.92545652389526,357.6517868041992,273.59785079956055,354.1036465293483,318.6314407147859,94.04982924461365,0,0,0,0,0,0,forward,0.12278291495712747,-0.084814493914791,0.03386540841523655,1,224,240,0.7862675189971924,0,top_left,354,244,317.3721122741699,243.19071865081787,392.57251739501953,246.1903839111328,0
1,1,264.0,208.0,168.0,168.0,320.47269582748413,246.17514431476593,394.0657353401184,249.50227797031403,360.1720428466797,276.27960205078125,356.4397309955798,320.1599497544138,94.6887731552124,0,0,0,0,0,0,forward,0.1306711695823121,-0.08495705662678829,0.03758056772812974,1,227,239,0.8383604884147644,0,top_left,357,246,320.391300201416,245.31757736206055,394.73191833496094,248.58599281311035,0
1,1,263.0,207.0,170.0,170.0,320.0100886821747,245.33611357212067,392.610502243042,249.33304846286774,362.26280212402344,277.9672908782959,357.25481936806125,321.46505506415116,95.19566893577576,0,0,0,0,0,0,forward,0.11553241937354979,-0.1821160672861397,0.04911728580515362,1,226,239,0.872139573097229,0,top_left,357,246,320.92344665527344,244.55982398986816,393.6460876464844,248.3635768890381,0
1,1,259.0,208.0,173.0,173.0,319.25076723098755,247.6657783985138,392.7967619895935,251.81301891803741,359.6282958984375,281.85556411743164,353.8699862831517,324.5988208369205,95.00089883804321,0,0,0,0,0,0,forward,0.07995187913939429,-0.11289083331856117,0.054993735643342985,1,224,240,0.7853897213935852,0,top_left,356,249,319.14405822753906,246.98336219787598,392.8890380859375,251.0709171295166,0
1,1,260.0,207.0,173.0,173.0,320.87710976600647,249.50585424900055,393.88617753982544,253.45060408115387,362.30751037597656,283.18187713623047,355.46973981355364,326.0066022370991,95.28077244758606,0,0,0,0,0,0,forward,0.08707923895050673,-0.15936416626428698,0.057269208443922005,1,227,239,0.7865137457847595,0,top_left,357,250,321.0464401245117,248.83233833312988,394.09285736083984,252.6767921447754,0
1,1,259.0,210.0,174.0,174.0,317.8426158428192,254.71823930740356,394.57743406295776,258.0628287792206,362.23960876464844,290.02017974853516,357.15764296682255,332.1903675480893,96.06728553771973,0,0,0,0,0,0,forward,0.05675159329013723,-0.1337285585848152,0.026442427745586795,1,227,240,0.7886753082275391,0,top_left,355,255,316.1434440612793,254.07978630065918,394.9265899658203,257.44284439086914,0
1,1,261.0,212.0,170.0,170.0,320.86368203163147,260.9066104888916,392.6248002052307,261.92238986492157,363.88397216796875,294.4987106323242,357.9818424425627,334.90665736951325,96.59907817840576,0,0,0,0,0,0,forward,0.04959646742129037,-0.21683430557583763,0.024556037288667825,1,227,240,0.837938129901886,0,top_left,356,260,320.14268493652344,260.17918395996094,393.0032272338867,261.0787925720215,0
1,1,257.0,210.0,174.0,174.0,319.0525805950165,261.73329770565033,394.4215750694275,263.20958733558655,363.01876068115234,299.5030403137207,357.4597830521433,340.49754795275237,95.45801877975464,0,0,0,0,0,0,forward,0.007124825047785327,-0.14701665067210412,0.011395894527514848,1,228,239,0.796317458152771,0,top_left,356,261,318.1294059753418,260.86904525756836,394.86700439453125,262.29139137268066,0
1,1,259.0,213.0,174.0,174.0,318.1525731086731,261.75870537757874,394.8306894302368,263.92900586128235,363.5673522949219,301.4561176300049,357.2446120412726,341.1486610613371,95.77041268348694,0,0,0,0,0,0,forward,-0.03208003113793217,-0.14363280941007256,0.010838169249868662,1,228,240,0.766872227191925,0,top_left,355,262,316.9158744812012,261.11152839660645,394.9265823364258,263.2927894592285,0
1,1,255.0,209.0,178.0,178.0,318.0077111721039,261.2498116493225,394.45560216903687,262.45835959911346,362.8763961791992,300.5060005187988,357.0826580649928,341.01326992637235,95.89757919311523,0,0,0,0,0,0,forward,-0.026039718739146244,-0.16725964357647946,0.008479638043357588,1,228,239,0.8028866648674011,0,top_left,355,261,316.0033721923828,260.4762897491455,395.0126266479492,261.58726501464844,0
1,1,257.0,209.0,176.0,176.0,320.1956236362457,259.45779025554657,394.6891379356384,261.0439074039459,363.1928253173828,298.64221572875977,356.3399405228464,339.2691481740851,96.51980996131897,0,0,0,0,0,0,forward,-0.02131314293407368,-0.15844440505026336,0.024218684685710087,1,229,239,0.808035135269165,0,top_left,357,259,319.55352783203125,258.9785442352295,395.48595428466797,260.3891086578369,0
1,1,258.0,211.0,174.0,174.0,319.02913331985474,258.95677864551544,395.8213424682617,261.04015946388245,363.7445068359375,298.0100440979004,357.51317074424344,338.51967460230776,95.47982215881348,0,0,0,0,0,0,forward,-0.025918880230296343,-0.13990460581517705,0.016796039576023086,1,227,239,0.8445830345153809,0,top_left,357,259,317.76436614990234,258.29089736938477,396.3142623901367,260.31206703186035,0
1,1,260.0,208.0,172.0,172.0,320.28281807899475,260.4846614599228,395.3048849105835,261.7747235298157,363.68980407714844,299.4910526275635,357.7231959292763,339.49446878935163,95.68411111831665,0,0,0,0,0,0,forward,-0.02045946047330582,-0.1312375188320202,0.01027686788300692,1,223,240,0.8137210607528687,0,top_left,357,260,319.2619285583496,260.0087699890137,395.5356140136719,261.15141105651855,0
1,1,258.0,210.0,178.0,178.0,322.164763212204,260.66147804260254,395.2718162536621,261.74203634262085,364.2055130004883,298.7509346008301,358.6004357588919,339.25284034327456,94.89010572433472,0,0,0,0,0,0,forward,-0.00205524923340991,-0.14593626516084973,0.015398781260999549,1,229,239,0.7961558103561401,0,top_left,358,260,321.471248626709,260.1046943664551,395.8940963745117,261.03137397766113,0
1,1,260.0,210.0,173.0,173.0,320.9599447250366,260.7403117418289,395.9320592880249,262.24591076374054,364.8929977416992,300.49670219421387,358.1753700657895,339.4856959895084,96.37039303779602,0,0,0,0,0,0,forward,-0.04401800461408622,-0.1647443470042237,0.02192369686058059,1,236,240,0.7287358641624451,0,None,358,260,319.85746002197266,259.98911476135254,396.73001861572266,261.3853454589844,0
1,1,259.0,210.0,174.0,174.0,320.2645695209503,258.24279248714447,396.339635848999,262.4683088064194,363.60992431640625,297.29536056518555,356.1634766428094,339.0826847678737,96.24467492103577,0,0,0,0,0,0,forward,0.020854105738121617,-0.1658145227883618,0.04716295464482069,1,235,240,0.7848622798919678,0,top_left,356,259,317.7897148132324,257.25671195983887,395.5130081176758,261.5157165527344,0
1,1,258.0,209.0,177.0,177.0,320.9679901599884,258.82428646087646,397.5421118736267,261.17292881011963,365.81565856933594,298.4850311279297,358.6625550922595,338.7700427205939,96.3726282119751,0,0,0,0,0,0,forward,-0.013377746170301692,-0.15754939288818334,0.02715339687018265,1,226,240,0.7730029821395874,0,top_left,359,258,319.8025245666504,257.8070182800293,398.31160736083984,260.0811424255371,0
1,1,261.0,212.0,174.0,174.0,321.8669283390045,258.85791063308716,397.83533334732056,261.9560980796814,364.8925018310547,296.3368034362793,356.53357656378495,338.80328630146226,95.3917920589447,0,0,0,0,0,0,forward,0.012357886599192848,-0.14766176446932988,0.04984284508730408,1,228,240,0.7748323678970337,0,top_left,359,259,320.4583549499512,258.41552352905273,398.48970794677734,261.4973945617676,0
1,1,259.0,212.0,176.0,176.0,321.86026096343994,257.50461280345917,397.8723454475403,260.9502983093262,365.26214599609375,296.87344551086426,357.5383838854338,338.6962584445351,97.00672626495361,0,0,0,0,0,0,forward,0.0076784034350734585,-0.1705472599004288,0.05193106994539743,1,235,239,0.734713077545166,0,top_left,359,258,321.3972930908203,256.58361053466797,398.36177825927734,259.9877243041992,0
1,1,260.0,211.0,174.0,174.0,321.78189039230347,256.21897280216217,397.9538106918335,260.22737324237823,365.0037384033203,297.95339584350586,358.67583425421464,339.23454937181975,97.04239964485168,0,0,0,0,0,0,forward,-0.022385187475301254,-0.13981340497772002,0.02989118552074121,1,229,240,0.803848385810852,0,top_left,359,257,321.0078125,255.38646697998047,398.7887420654297,259.4127559661865,0
1,1,263.0,213.0,174.0,174.0,320.28607845306396,258.821382522583,397.26168632507324,262.12148129940033,364.00665283203125,298.4260940551758,358.1276542262027,339.4877137635884,95.97815871238708,0,0,0,0,0,0,forward,-0.0058558438700751095,-0.11905678086247636,0.027303594970914544,1,246,240,0.7536907196044922,0,top_left,358,259,319.9367485046387,258.1040439605713,398.05958557128906,261.30483055114746,0
1,1,262.0,211.0,172.0,172.0,322.02024579048157,258.66569101810455,396.8980002403259,261.8895936012268,365.0381851196289,298.6820983886719,359.44610595703125,338.84812304848117,95.04557251930237,0,0,0,0,0,0,forward,-0.010933759758754347,-0.14292635767460996,0.024689300932597125,1,229,239,0.8358298540115356,0,top_left,358,259,320.9828872680664,257.96068954467773,396.9139862060547,261.11992263793945,0
1,1,257.0,209.0,178.0,178.0,319.51332449913025,260.2032548189163,395.63817262649536,261.51795387268066,364.8268508911133,297.4163246154785,359.1343026412161,339.23065386320417,96.06069922447205,0,0,0,0,0,0,forward,0.020899582736611126,-0.16207831762039687,0.010369689823028145,1,228,239,0.8154792189598083,0,top_left,357,260,319.0428886413574,259.63756370544434,396.5519714355469,260.86652183532715,0
